  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
545110 ***** 201901010000 040   2 *** *** BKN * * *  3.8 05 ** ** ** ** ** ** ** *   11    2 1041.4 ***** 1037.1 *** *** ***** ***** ***** ***** **
545110 ***** 201901010000 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    1 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010030 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    1 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010100 350   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    7 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010130 330   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    5 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010200 010   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   23    5 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010230 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    5 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010300 320   7 *** 722 SCT * * *  8.8 ** ** ** ** ** ** ** ** *   28    1 1040.9 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010300 310  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    1 ****** 30.74 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010330 300  18 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    1 ****** 30.71 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010400 310  18 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.71 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010430 300  18  29 *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010500 310  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010530 990  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010600 340   7 *** *** *** * * * 18.8 ** ** ** ** ** ** ** ** *   33   -3 1038.4 ***** 1034.1 ***  10 ***** ***** ***** ***** **
545110 ***** 201901010600 990  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010630 330  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   -6 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010700 300  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010730 990  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   34   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010800 990  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010830 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -4 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010900 340   4 *** 722 SCT * * * 18.1 ** ** ** ** ** ** ** ** *   31   -3 1039.1 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010900 990  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901010930 990  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011000 290  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011030 290  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011100 290  11  22 *** *** * * * **** ** ** ** ** ** ** ** ** *   30    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011130 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011200 290   4 *** 722 SCT * * *  5.0 ** ** ** ** ** ** ** ** *   26    0 1039.2 ***** 1034.9 *** *** ***** ***** ***** ***** **
545110 ***** 201901011200 310   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011230 310  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011300 340   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21   -2 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011330 330  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011400 320   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011430 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011500 020   4 ***   8 OBS * * * 18.8 ** ** ** ** ** ** ** ** *   26   -1 1039.2 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011500 010   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19   -2 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011530 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011600 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011630 010   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011700 010   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011730 030   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   10   -2 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011800 070   2 ***   8 OBS * * *  8.8 ** ** ** ** ** ** ** ** *   14   -1 1039.8 ***** 1035.5 *** *** ***** ***** ***** ***** **
545110 ***** 201901011800 360   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12   -2 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011830 340   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12   -2 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011900 010   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901011930 350   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012000 340   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012030 340   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012100 040   2 ***   8 OBS * * * 13.8 ** ** ** ** ** ** ** ** *   14   -1 1038.5 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012100 340   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16   -2 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012130 330   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16   -2 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012200 340   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12   -2 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012230 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14   -2 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012300 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12   -2 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901012330 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020000 070   2 *** *** BKN * * * 13.8 ** ** ** ** ** ** ** ** *   17   -1 1038.9 ***** 1034.6 *** *** ***** ***** ***** ***** **
545110 ***** 201901020000 350   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020030 350   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    1 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020100 350   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020130 330   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25    1 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020200 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    0 ****** 30.68 ****** *** *** ***** ***** ***** ***** **
